|dakkon blackblade|legendary|creature||human warrior|*/*|{^^WWUUUUBB}|@'s power and toughness are each equal to the number of lands you control.|

|dampen thought||instant||arcane||{^UU}|splice onto arcane {^UU}\target player puts the top four cards of his or her library into his or her graveyard.|

|crypt champion||creature||zombie|&^^/&^^|{^^^BB}|double strike\when @ enters the battlefield, each player puts a creature card with converted mana cost &^^^ or less from his or her graveyard onto the battlefield.\when @ enters the battlefield, sacrifice it unless {RR} was spent to cast it.|

|pia and kiran nalaar|legendary|creature||human artificer|&^^/&^^|{^^RRRR}|when @ enters the battlefield, put two &^/&^ colorless thopter artifact creature tokens with flying onto the battlefield.\{^^RR}, sacrifice an artifact: @ deals &^^ damage to target creature or player.|

|orim's touch||instant||||{WW}|prevent the next &^^ damage that would be dealt to target creature or player this turn. if @ was kicked, prevent the next &^^^^ damage that would be dealt to that creature or player this turn instead.\kicker {^}|

|bite of the black rose||sorcery||||{^^^BB}|will of the council ~ starting with you, each player votes for sickness or psychosis. if sickness gets more votes, creatures your opponents control get -&^^/-&^^ until end of turn. if psychosis gets more votes or the vote is tied, each opponent discards two cards.|

|wall of kelp||creature||plant wall|&/&^^^|{UUUU}|defender\{UUUU}, T: put a &/&^ blue plant wall creature token with defender named kelp onto the battlefield.|

|woodland bellower||creature||beast|&^^^^^^/&^^^^^|{^^^^GGGG}|when @ enters the battlefield, you may search your library for a nonlegendary green creature card with converted mana cost &^^^ or less, put it onto the battlefield, then shuffle your library.|

|uba mask||artifact||||{^^^^}|if a player would draw a card, that player exiles that card face up instead.\each player may play cards he or she exiled with @ this turn.|

|frost titan||creature||giant|&^^^^^^/&^^^^^^|{^^^^UUUU}|whenever @ becomes the target of a spell or ability an opponent controls, uncast that spell or ability unless its controller pays {^^}.\whenever @ enters the battlefield or attacks, tap target permanent. it doesn't untap during its controller's next untap step.|

|coffin purge||instant||||{BB}|flashback {BB}\exile target card from a graveyard.|

|thrumming stone|legendary|artifact||||{^^^^^}|spells you cast have ripple &^^^^.|

|soul scourge||creature||nightmare horror|&^^^/&^^|{^^^^BB}|flying\when @ enters the battlefield, target player loses &^^^ life.\when @ leaves the battlefield, that player gains &^^^ life.|

|drakewing krasis||creature||lizard drake|&^^^/&^|{^GGUU}|flying\trample|

|rock slide||instant||||{XXRR}|@ deals X damage divided as you choose among any number of target attacking or blocking creatures without flying.|

|greater good||enchantment||||{^^GGGG}|sacrifice a creature: draw cards equal to the sacrificed creature's power, then discard three cards.|

|kagemaro's clutch||enchantment||aura||{^^^BB}|enchant creature\enchanted creature gets -X/-X, where X is the number of cards in your hand.|

|brine seer||creature||human wizard|&^/&^|{^^^UU}|{^^UU}, T: reveal any number of blue cards in your hand. uncast target spell unless its controller pays {^} for each card revealed this way.|

|rakshasa's disdain||instant||||{^^UU}|uncast target spell unless its controller pays {^} for each card in your graveyard.|

|reya dawnbringer|legendary|creature||angel|&^^^^/&^^^^^^|{^^^^^^WWWWWW}|flying\at the beginning of your upkeep, you may return target creature card from your graveyard to the battlefield.|

|legacy weapon|legendary|artifact||||{^^^^^^^}|{WWUUBBRRGG}: exile target permanent.\if @ would be put into a graveyard from anywhere, reveal @ and shuffle it into its owner's library instead.|

|gelectrode||creature||weird|&/&^|{^UURR}|T: @ deals &^ damage to target creature or player.\whenever you cast an instant or sorcery spell, you may untap @.|

|mystic meditation||sorcery||||{^^^UU}|draw three cards. then discard two cards unless you discard a creature card.|

|clifftop retreat||land|||||@ enters the battlefield tapped unless you control a mountain or a plains.\T: add {RR} or {WW} to your mana pool.|

|sunbringer's touch||sorcery||||{^^GGGG}|bolster X, where X is the number of cards in your hand. each creature you control with a +&^/+&^ counter on it gains trample until end of turn.|

|ring of xathrid||artifact||equipment||{^^}|equip {^}\{^^}: regenerate equipped creature.\at the beginning of your upkeep, put a +&^/+&^ counter on equipped creature if it's black.|

|wall of distortion||creature||wall|&^/&^^^|{^^BBBB}|defender\{^^BB}, T: target player discards a card. activate this ability only any time you could cast a sorcery.|

|canopy claws||instant||||{GG}|flashback {GG}\target creature loses flying until end of turn.|

|grave betrayal||enchantment||||{^^^^^BBBB}|whenever a creature you don't control dies, return it to the battlefield under your control with an additional +&^/+&^ counter on it at the beginning of the next end step. that creature is a black zombie in addition to its other colors and types.|

|sulfur elemental||creature||elemental|&^^^/&^^|{^^RR}|flash\split second\white creatures get +&^/-&^.|

|dance of the skywise||instant||||{^UU}|until end of turn, target creature you control becomes a blue dragon illusion with base power and toughness &^^^^/&^^^^, loses all abilities, and gains flying.|

|anarchy||sorcery||||{^^RRRR}|destroy all white permanents.|

|epochrasite||artifact creature||construct|&^/&^|{^^}|@ enters the battlefield with three +&^/+&^ counters on it if you didn't cast it from your hand.\when @ dies, exile it with three % counters on it and it gains suspend.\countertype % time|

|gibbering descent||enchantment||||{^^^^BBBB}|madness {^^BBBB}\at the beginning of each player's upkeep, that player loses &^ life and discards a card.\hellbent ~ skip your upkeep step if you have no cards in hand.|

|martyr's bond||enchantment||||{^^^^WWWW}|whenever @ or another nonland permanent you control is put into a graveyard from the battlefield, each opponent sacrifices a permanent that shares a card type with it.|

|searing blaze||instant||||{RRRR}|@ deals &^ damage to target player and &^ damage to target creature that player controls.\landfall ~ if you had a land enter the battlefield under your control this turn, @ deals &^^^ damage to that player and &^^^ damage to that creature instead.|

|lancers en~kor||creature||kor soldier|&^^^/&^^^|{^^^WWWW}|trample\{}: the next &^ damage that would be dealt to @ this turn is dealt to target creature you control instead.|

|second wind||enchantment||aura||{^^UU}|enchant creature\T: tap enchanted creature.\T: untap enchanted creature.|

|wall of lava||creature||wall|&^/&^^^|{^RRRR}|defender\{RR}: @ gets +&^/+&^ until end of turn.|

|cephalid snitch||creature||cephalid wizard|&^/&^|{^UU}|sacrifice @: target creature loses protection from black until end of turn.|

|lurking crocodile||creature||crocodile|&^^/&^^|{^^GG}|bloodthirst &^\islandwalk|

|gossamer chains||enchantment||||{WWWW}|return @ to its owner's hand: prevent all combat damage that would be dealt by target unblocked creature this turn.|

|rushwood elemental||creature||elemental|&^^^^/&^^^^|{GGGGGGGGGG}|trample\at the beginning of your upkeep, you may put a +&^/+&^ counter on @.|

|deathmark prelate||creature||human cleric|&^^/&^^^|{^^^BB}|{^^BB}, T, sacrifice a zombie: destroy target non~zombie creature. it can't be regenerated. activate this ability only any time you could cast a sorcery.|

|sea's claim||enchantment||aura||{UU}|enchant land\enchanted land is an island.|

|canyon drake||creature||drake|&^/&^^|{^^RRRR}|flying\{^}, discard a card at random: @ gets +&^^/+& until end of turn.|

|multani's presence||enchantment||||{GG}|whenever a spell you've cast is uncasted, draw a card.|

|twilight mire||land|||||T: add {CC} to your mana pool.\{BG}, T: add {BBBB}, {BBGG}, or {GGGG} to your mana pool.|

|indestructibility||enchantment||aura||{^^^WW}|enchant permanent\enchanted permanent has indestructible.|

|pillarfield ox||creature||ox|&^^/&^^^^|{^^^WW}||

|white shield crusader||creature||human knight|&^^/&^|{WWWW}|protection from black\{WW}: @ gains flying until end of turn.\{WWWW}: @ gets +&^/+& until end of turn.|

|evolving wilds||land|||||T, sacrifice @: search your library for a basic land card and put it onto the battlefield tapped. then shuffle your library.|

|gluttonous slime||creature||ooze|&^^/&^^|{^^GG}|flash\devour &^|

|avatar of discord||creature||avatar|&^^^^^/&^^^|{BRBRBR}|\flying\when @ enters the battlefield, sacrifice it unless you discard two cards.|

|siren's call||instant||||{UU}|cast @ only during an opponent's turn, before attackers are declared.\creatures the active player controls attack this turn if able.\at the beginning of the next end step, destroy all non~wall creatures that player controls that didn't attack this turn. ignore this effect for each creature the player didn't control continuously since the beginning of the turn.|

|raiders' spoils||enchantment||||{^^^BB}|creatures you control get +&^/+&.\whenever a warrior you control deals combat damage to a player, you may pay &^ life. if you do, draw a card.|

|junktroller||artifact creature||golem|&/&^^^^^^|{^^^^}|defender\T: put target card from a graveyard on the bottom of its owner's library.|

|cathedral of war||land|||||exalted\@ enters the battlefield tapped.\T: add {CC} to your mana pool.|

|alabaster leech||creature||leech|&^/&^^^|{WW}|white spells you cast cost {WW} more to cast.|

|utopia vow||enchantment||aura||{^GG}|enchant creature\enchanted creature can't attack or block.\enchanted creature has "T: add one mana of any color to your mana pool."|

|taigam's scheming||sorcery||||{^UU}|look at the top five cards of your library. put any number of them into your graveyard and the rest back on top of your library in any order.|

|marsh goblins||creature||goblin|&^/&^|{BBRR}|swampwalk|

|vine kami||creature||spirit|&^^^^/&^^^^|{^^^^^^GG}|menace\soulshift &^^^^^^|

|tourach's gate||enchantment||aura||{^BBBB}|enchant land you control\sacrifice a thrull: put three % counters on @.\at the beginning of your upkeep, remove a % counter from @. if there are no % counters on @, sacrifice it.\tap enchanted land: attacking creatures you control get +&^^/-&^ until end of turn. activate this ability only if enchanted land is untapped.\countertype % time|

|expedite||instant||||{RR}|target creature gains haste until end of turn.\draw a card.|

|culling the weak||instant||||{BB}|as an additional cost to cast @, sacrifice a creature.\add {BBBBBBBB} to your mana pool.|

|amugaba||creature||illusion|&^^^^^^/&^^^^^^|{^^^^^UUUU}|flying\{^^UU}, discard a card: return @ to its owner's hand.|

|twigwalker||creature||insect|&^^/&^^|{^^GG}|{^GG}, sacrifice @: two target creatures each get +&^^/+&^^ until end of turn.|

|jade mage||creature||human shaman|&^^/&^|{^GG}|{^^GG}: put a &^/&^ green saproling creature token onto the battlefield.|

|holy armor||enchantment||aura||{WW}|enchant creature\enchanted creature gets +&/+&^^.\{WW}: enchanted creature gets +&/+&^ until end of turn.|

|greatsword||artifact||equipment||{^^^}|equip {^^^}\equipped creature gets +&^^^/+&.|

|furystoke giant||creature||giant warrior|&^^^/&^^^|{^^^RRRR}|persist\when @ enters the battlefield, other creatures you control gain "T: this creature deals &^^ damage to target creature or player" until end of turn.|

|setessan tactics||instant||||{^GG}|strive ~ @ costs {GG} more to cast for each target beyond the first.\until end of turn, any number of target creatures each get +&^/+&^ and gain "T: this creature fights another target creature."|

|homicidal seclusion||enchantment||||{^^^^BB}|as long as you control exactly one creature, that creature gets +&^^^/+&^ and has lifelink.|

|cultbrand cinder||creature||elemental shaman|&^^^/&^^^|{^^^^BR}|when @ enters the battlefield, put a -&^/-&^ counter on target creature.|

|stampeding wildebeests||creature||antelope beast|&^^^^^/&^^^^|{^^GGGG}|trample\at the beginning of your upkeep, return a green creature you control to its owner's hand.|

|aether charge||enchantment||||{^^^^RR}|whenever a beast enters the battlefield under your control, you may have it deal &^^^^ damage to target opponent.|

|rimewind cryomancer||creature||human wizard|&^^/&^^^|{^^^UU}|{^}, T: uncast target activated ability. activate this ability only if you control four or more snow permanents.|

|leyline of lifeforce||enchantment||||{^^GGGG}|if @ is in your opening hand, you may begin the game with it on the battlefield.\creature spells can't be uncasted.|

|seal of the guildpact||artifact||||{^^^^^}|as @ enters the battlefield, choose two colors.\each spell you cast costs {^} less to cast for each of the chosen colors it is.|

|channel the suns||sorcery||||{^^^GG}|add {WWUUBBRRGG} to your mana pool.|

|life and limb||enchantment||||{^^^GG}|all forests and all saprolings are &^/&^ green saproling creatures and forest lands in addition to their other types.|

|peppersmoke||tribal instant||faerie||{BB}|target creature gets -&^/-&^ until end of turn. if you control a faerie, draw a card.|

|grim poppet||artifact creature||scarecrow|&^^^^/&^^^^|{^^^^^^^}|@ enters the battlefield with three -&^/-&^ counters on it.\remove a -&^/-&^ counter from @: put a -&^/-&^ counter on another target creature.|

|pain magnification||enchantment||||{^BBRR}|whenever an opponent is dealt &^^^ or more damage by a single source, that player discards a card.|

|wall of hope||creature||wall|&/&^^^|{WW}|defender\whenever @ is dealt damage, you gain that much life.|

|phantasmal mount||creature||illusion horse|&^/&^|{^UU}|flying\T: target creature you control with toughness &^^ or less gets +&^/+&^ and gains flying until end of turn. when @ leaves the battlefield this turn, sacrifice that creature. when the creature leaves the battlefield this turn, sacrifice @.|

|polymorph||sorcery||||{^^^UU}|destroy target creature. it can't be regenerated. its controller reveals cards from the top of his or her library until he or she reveals a creature card. the player puts that card onto the battlefield, then shuffles all other cards revealed this way into his or her library.|

|wren's run packmaster||creature||elf warrior|&^^^^^/&^^^^^|{^^^GG}|champion an elf\{^^GG}: put a &^^/&^^ green wolf creature token onto the battlefield.\wolves you control have deathtouch.|

|vampiric sliver||creature||sliver|&^^^/&^^^|{^^^BB}|all sliver creatures have "whenever a creature dealt damage by this creature this turn dies, put a +&^/+&^ counter on this creature."|

|seismic rupture||sorcery||||{^^RR}|@ deals &^^ damage to each creature without flying.|

|ebon stronghold||land|||||@ enters the battlefield tapped.\T: add {BB} to your mana pool.\T, sacrifice @: add {BBBB} to your mana pool.|

|vulturous zombie||creature||plant zombie|&^^^/&^^^|{^^^BBGG}|flying\whenever a card is put into an opponent's graveyard from anywhere, put a +&^/+&^ counter on @.|

|dimir house guard||creature||skeleton|&^^/&^^^|{^^^BB}|fear\transmute {^BBBB}\sacrifice a creature: regenerate @.|

|enlightened tutor||instant||||{WW}|search your library for an artifact or enchantment card and reveal that card. shuffle your library, then put the card on top of it.|

|darksteel sentinel||artifact creature||golem|&^^^/&^^^|{^^^^^^}|flash\vigilance\indestructible|

|silverstorm samurai||creature||fox samurai|&^^^/&^^^|{^^^^WWWW}|flash\bushido &^|

|dwarven miner||creature||dwarf|&^/&^^|{^RR}|{^^RR}, T: destroy target nonbasic land.|

|phyrexian hydra||creature||hydra|&^^^^^^^/&^^^^^^^|{^^^GGGG}|infect\if damage would be dealt to @, prevent that damage. put a -&^/-&^ counter on @ for each &^ damage prevented this way.|

|marchesa's emissary||creature||human rogue|&^^/&^^|{^^^UU}|hexproof\dethrone|

|kozilek's pathfinder||creature||eldrazi|&^^^^^/&^^^^^|{^^^^^^}|{CC}: target creature can't block @ this turn.|

|millstone||artifact||||{^^}|{^^}, T: target player puts the top two cards of his or her library into his or her graveyard.|

|ephara, god of the polis|legendary|enchantment creature||god|&^^^^^^/&^^^^^|{^^WWUU}|indestructible\as long as your devotion to white and blue is less than seven, @ isn't a creature.\at the beginning of each upkeep, if you had another creature enter the battlefield under your control last turn, draw a card.|

|aven squire||creature||bird soldier|&^/&^|{^WW}|flying\exalted|

|herald of torment||enchantment creature||demon|&^^^/&^^^|{^BBBB}|bestow {^^^BBBB}\flying\at the beginning of your upkeep, you lose &^ life.\enchanted creature gets +&^^^/+&^^^ and has flying.|

|sengir bats||creature||bat|&^/&^^|{^BBBB}|flying\whenever a creature dealt damage by @ this turn dies, put a +&^/+&^ counter on @.|

|morselhoarder||creature||elemental|&^^^^^^/&^^^^|{^^^^RGRG}|@ enters the battlefield with two -&^/-&^ counters on it.\remove a -&^/-&^ counter from @: add one mana of any color to your mana pool.|

|rolling temblor||sorcery||||{^^RR}|flashback {^^^^RRRR}\@ deals &^^ damage to each creature without flying.|

|abstruse interference||instant||||{^^UU}|devoid\uncast target spell unless its controller pays {^}. you put a &^/&^ colorless eldrazi scion creature token onto the battlefield. it has "sacrifice this creature: add {CC} to your mana pool."|

|shelldock isle||land|||||hideaway\T: add {UU} to your mana pool.\{UU}, T: you may play the exiled card without paying its mana cost if a library has twenty or fewer cards in it.|

|quarum trench gnomes||creature||gnome|&^/&^|{^^^RR}|T: if target plains is tapped for mana, it produces colorless mana instead of white mana.|

|thornweald archer||creature||elf archer|&^^/&^|{^GG}|reach\deathtouch|

|venomous vines||sorcery||||{^^GGGG}|destroy target enchanted permanent.|

|graceful antelope||creature||antelope|&^/&^^^^|{^^WWWW}|plainswalk\whenever @ deals combat damage to a player, you may have target land become a plains until @ leaves the battlefield.|

|sulam djinn||creature||djinn|&^^^^^^/&^^^^^^|{^^^^^GG}|trample\@ gets -&^^/-&^^ as long as green is the most common color among all permanents or is tied for most common.|

|talisman of impulse||artifact||||{^^}|T: add {CC} to your mana pool.\T: add {RR} or {GG} to your mana pool. @ deals &^ damage to you.|

|flamewave invoker||creature||goblin mutant|&^^/&^^|{^^RR}|{^^^^^^^RR}: @ deals &^^^^^ damage to target player.|

|avatar of might||creature||avatar|&^^^^^^^^/&^^^^^^^^|{^^^^^^GGGG}|trample\if an opponent controls at least four more creatures than you, @ costs {^^^^^^} less to cast.|

|sphinx of the final word||creature||sphinx|&^^^^^/&^^^^^|{^^^^^UUUU}|flying\hexproof\@ can't be uncasted.\instant and sorcery spells you control can't be uncasted by spells or abilities.|

|lash of the whip||instant||||{^^^^BB}|target creature gets -&^^^^/-&^^^^ until end of turn.|

|jodah's avenger||creature||shapeshifter|&^^^^/&^^^^|{^^^^^UU}|{}: until end of turn, @ gets -&^/-&^ and gains your choice of double strike, protection from red, vigilance, or shadow.|

|omniscience||enchantment||||{^^^^^^^UUUUUU}|you may cast nonland cards from your hand without paying their mana costs.|

|defiling tears||instant||||{^^BB}|until end of turn, target creature becomes black, gets +&^/-&^, and gains "{BB}: regenerate this creature."|

|rootbound crag||land|||||@ enters the battlefield tapped unless you control a mountain or a forest.\T: add {RR} or {GG} to your mana pool.|

|plague stinger||creature||insect horror|&^/&^|{^BB}|flying\infect|

|jokulmorder||creature||leviathan|&^^^^^^^^^^^^/&^^^^^^^^^^^^|{^^^^UUUUUU}|trample\@ enters the battlefield tapped.\when @ enters the battlefield, sacrifice it unless you sacrifice five lands.\@ doesn't untap during your untap step.\whenever you play an island, you may untap @.|

|mortus strider||creature||skeleton|&^/&^|{^UUBB}|when @ dies, return it to its owner's hand.|

|dispel||instant||||{UU}|uncast target instant spell.|

|vitalizing wind||instant||||{^^^^^^^^GG}|creatures you control get +&^^^^^^^/+&^^^^^^^ until end of turn.|

|afflicted deserter||creature||human werewolf|&^^^/&^^|{^^^RR}|at the beginning of each upkeep, if no spells were cast last turn, transform @.|
|werewolf ransacker||creature||werewolf|&^^^^^/&^^^^||whenever this creature transforms into @, you may destroy target artifact. if that artifact is put into a graveyard this way, @ deals &^^^ damage to that artifact's controller.\at the beginning of each upkeep, if a player cast two or more spells last turn, transform @.|

|cloudchaser eagle||creature||bird|&^^/&^^|{^^^WW}|flying\when @ enters the battlefield, destroy target enchantment.|

|mountain bandit||creature||human soldier rogue|&^/&^|{RR}|haste|

|barrenton cragtreads||creature||kithkin scout|&^^^/&^^^|{^^WUWU}|@ can't be blocked by red creatures.|

|incite rebellion||sorcery||||{^^^^RRRR}|for each player, @ deals damage to that player and each creature that player controls equal to the number of creatures he or she controls.|

|whispering shade||creature||shade|&^/&^|{^^^BB}|swampwalk\{BB}: @ gets +&^/+&^ until end of turn.|

|ponder||sorcery||||{UU}|look at the top three cards of your library, then put them back in any order. you may shuffle your library.\draw a card.|

|altar of bone||sorcery||||{GGWW}|as an additional cost to cast @, sacrifice a creature.\search your library for a creature card, reveal that card, and put it into your hand. then shuffle your library.|

|sheltering ancient||creature||treefolk|&^^^^^/&^^^^^|{^GG}|trample\cumulative upkeep~put a +&^/+&^ counter on a creature an opponent controls.|

|ignite memories||sorcery||||{^^^^RR}|storm\target player reveals a card at random from his or her hand. @ deals damage to that player equal to that card's converted mana cost.|

|duskrider falcon||creature||bird|&^/&^|{^WW}|flying\protection from black|

|cabal shrine||enchantment||||{^BBBB}|whenever a player casts a spell, that player discards X cards, where X is the number of cards in all graveyards with the same name as that spell.|

|wandering ones||creature||spirit|&^/&^|{UU}||

|roar of reclamation||sorcery||||{^^^^^WWWW}|each player returns all artifact cards from his or her graveyard to the battlefield.|

|urza's factory||land||urza"s|||T: add {CC} to your mana pool.\{^^^^^^^}, T: put a &^^/&^^ colorless assembly~worker artifact creature token onto the battlefield.|

|dwarven hold||land|||||@ enters the battlefield tapped.\you may choose not to untap @ during your untap step.\at the beginning of your upkeep, if @ is tapped, put a % counter on it.\T, remove any number of % counters from @: add {RR} to your mana pool for each % counter removed this way.\countertype % storage|

|dragonlord atarka|legendary|creature||elder dragon|&^^^^^^^^/&^^^^^^^^|{^^^^^RRGG}|flying\trample\when @ enters the battlefield, it deals &^^^^^ damage divided as you choose among any number of target creatures and/or planeswalkers your opponents control.|

|leaden myr||artifact creature||myr|&^/&^|{^^}|T: add {BB} to your mana pool.|

|flames of the firebrand||sorcery||||{^^RR}|@ deals &^^^ damage divided as you choose among one, two, or three target creatures and/or players.|

|arashin sovereign||creature||dragon|&^^^^^^/&^^^^^^|{^^^^^GGWW}|flying\when @ dies, you may put it on the top or bottom of its owner's library.|

|nightshade stinger||creature||faerie rogue|&^/&^|{BB}|flying\@ can't block.|

|lim~dul's high guard||creature||skeleton|&^^/&^|{^BBBB}|first strike\{^BB}: regenerate @.|

|clockwork beast||artifact creature||beast|&/&^^^^|{^^^^^^}|@ enters the battlefield with seven +&^/+& counters on it.\at end of combat, if @ attacked or blocked this combat, remove a +&^/+& counter from it.\{XX}, T: put up to X +&^/+& counters on @. this ability can't cause the total number of +&^/+& counters on @ to be greater than seven. activate this ability only during your upkeep.|

|golgari rot farm||land|||||@ enters the battlefield tapped.\when @ enters the battlefield, return a land you control to its owner's hand.\T: add {BBGG} to your mana pool.|

|pelakka wurm||creature||wurm|&^^^^^^^/&^^^^^^^|{^^^^GGGGGG}|trample\when @ enters the battlefield, you gain &^^^^^^^ life.\when @ dies, draw a card.|

|atarka monument||artifact||||{^^^}|T: add {RR} or {GG} to your mana pool.\{^^^^RRGG}: @ becomes a &^^^^/&^^^^ red and green dragon artifact creature with flying until end of turn.|

|blade of selves||artifact||equipment||{^^}|equip {^^^^}\equipped creature has myriad.|

|madcap skills||enchantment||aura||{^RR}|enchant creature\enchanted creature gets +&^^^/+& and has menace.|

|reverence||enchantment||||{^^WWWW}|creatures with power &^^ or less can't attack you.|

|venser, shaper savant|legendary|creature||human wizard|&^^/&^^|{^^UUUU}|flash\when @ enters the battlefield, return target spell or permanent to its owner's hand.|

|deadly allure||sorcery||||{BB}|flashback {GG}\target creature gains deathtouch until end of turn and must be blocked this turn if able.|

|ordeal of nylea||enchantment||aura||{^GG}|enchant creature\whenever enchanted creature attacks, put a +&^/+&^ counter on it. then if it has three or more +&^/+&^ counters on it, sacrifice @.\when you sacrifice @, search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle your library.|

|brine shaman||creature||human cleric shaman|&^/&^|{^BB}|T, sacrifice a creature: target creature gets +&^^/+&^^ until end of turn.\{^UUUU}, sacrifice a creature: uncast target creature spell.|

|krark~clan ironworks||artifact||||{^^^^}|sacrifice an artifact: add {CCCC} to your mana pool.|

|bestial menace||sorcery||||{^^^GGGG}|put a &^/&^ green snake creature token, a &^^/&^^ green wolf creature token, and a &^^^/&^^^ green elephant creature token onto the battlefield.|

|hurloon shaman||creature||minotaur shaman|&^^/&^^^|{^RRRR}|when @ dies, each player sacrifices a land.|

|tideforce elemental||creature||elemental|&^^/&^|{^^UU}|{UU}, T: you may tap or untap another target creature.\landfall ~ whenever a land enters the battlefield under your control, you may untap @.|

|naya hushblade||creature||elf rogue|&^^/&^|{RWGG}|as long as you control another multicolored permanent, @ gets +&^/+&^ and has shroud.|

|elf replica||artifact creature||elf|&^^/&^^|{^^^}|{^GG}, sacrifice @: destroy target enchantment.|

|zof shade||creature||shade|&^^/&^^|{^^^BB}|{^^BB}: @ gets +&^^/+&^^ until end of turn.|

|cranial archive||artifact||||{^^}|{^^}, exile @: target player shuffles his or her graveyard into his or her library. draw a card.|

|rites of spring||sorcery||||{^GG}|discard any number of cards. search your library for up to that many basic land cards, reveal those cards, and put them into your hand. then shuffle your library.|

|eight~and~a~half~tails|legendary|creature||fox cleric|&^^/&^^|{WWWW}|{^WW}: target permanent you control gains protection from white until end of turn.\{^}: target spell or permanent becomes white until end of turn.|

|corrupt eunuchs||creature||human advisor|&^^/&^^|{^^^RR}|when @ enters the battlefield, it deals &^^ damage to target creature.|

|dark suspicions||enchantment||||{^^BBBB}|at the beginning of each opponent's upkeep, that player loses X life, where X is the number of cards in that player's hand minus the number of cards in your hand.|

|dystopia||enchantment||||{^BBBB}|cumulative upkeep~pay &^ life.\at the beginning of each player's upkeep, that player sacrifices a green or white permanent.|

|stony silence||enchantment||||{^WW}|activated abilities of artifacts can't be activated.|

|marsh threader||creature||kor scout|&^^/&^|{^WW}|swampwalk|

|geist snatch||instant||||{^^UUUU}|uncast target creature spell. put a &^/&^ blue spirit creature token with flying onto the battlefield.|

|wild pair||enchantment||||{^^^^GGGG}|whenever a creature enters the battlefield, if you cast it from your hand, you may search your library for a creature card with the same total power and toughness and put it onto the battlefield. if you do, shuffle your library.|

|boggart arsonists||creature||goblin rogue|&^^/&^|{^^RR}|plainswalk\{^^RR}, sacrifice @: destroy target scarecrow or plains.|

|cleansing||sorcery||||{WWWWWW}|for each land, destroy that land unless any player pays &^ life.|

|sword of feast and famine||artifact||equipment||{^^^}|equip {^^}\equipped creature gets +&^^/+&^^ and has protection from black and from green.\whenever equipped creature deals combat damage to a player, that player discards a card and you untap all lands you control.|

|sultai ascendancy||enchantment||||{BBGGUU}|at the beginning of your upkeep, look at the top two cards of your library. put any number of them into your graveyard and the rest back on top of your library in any order.|

|eladamri's vineyard||enchantment||||{GG}|at the beginning of each player's precombat main phase, add {GGGG} to that player's mana pool.|

|read the runes||instant||||{XXUU}|draw X cards. for each card drawn this way, discard a card unless you sacrifice a permanent.|

|inferno||instant||||{^^^^^RRRR}|@ deals &^^^^^^ damage to each creature and each player.|

|endangered armodon||creature||elephant|&^^^^/&^^^^^|{^^GGGG}|when you control a creature with toughness &^^ or less, sacrifice @.|

|power sink||instant||||{XXUU}|uncast target spell unless its controller pays {XX}. if he or she doesn't, that player taps all lands with mana abilities he or she controls and empties his or her mana pool.|

|blanchwood armor||enchantment||aura||{^^GG}|enchant creature\enchanted creature gets +&^/+&^ for each forest you control.|

|flameborn hellion||creature||hellion|&^^^^^/&^^^^|{^^^^^RR}|haste\@ attacks each turn if able.|

|soldier replica||artifact creature||soldier|&^/&^^^|{^^^}|{^WW}, sacrifice @: @ deals &^^^ damage to target attacking or blocking creature.|

|tolarian sentinel||creature||human spellshaper|&^/&^^^|{^^^UU}|flying\{UU}, T, discard a card: return target permanent you control to its owner's hand.|

|spirit link||enchantment||aura||{WW}|enchant creature\whenever enchanted creature deals damage, you gain that much life.|

|vial of poison||artifact||||{^}|{^}, sacrifice @: target creature gains deathtouch until end of turn.|

|corpse traders||creature||human rogue|&^^^/&^^^|{^^^BB}|{^^BB}, sacrifice a creature: target opponent reveals his or her hand. you choose a card from it. that player discards that card. activate this ability only any time you could cast a sorcery.|

|toymaker||artifact creature||spellshaper|&^/&^|{^^}|{^}, T, discard a card: target noncreature artifact becomes an artifact creature with power and toughness each equal to its converted mana cost until end of turn.|

|temur charm||instant||||{GGUURR}|[&^ = target creature you control gets +&^/+&^ until end of turn. it fights target creature you don't control. = uncast target spell unless its controller pays {^^^}. = creatures with power &^^^ or less can't block this turn.]|

|phantom general||creature||spirit soldier|&^^/&^^^|{^^^WW}|creature tokens you control get +&^/+&^.|

|arcbound lancer||artifact creature||beast|&/&|{^^^^^^^}|first strike\modular &^^^^|

|vampire hexmage||creature||vampire shaman|&^^/&^|{BBBB}|first strike\sacrifice @: remove all counters from target permanent.|

|flowstone crusher||creature||beast|&^^^^/&^^^^|{^^^RRRR}|{RR}: @ gets +&^/-&^ until end of turn.|

|rewind||instant||||{^^UUUU}|uncast target spell. untap up to four lands.|

|orbweaver kumo||creature||spirit|&^^^/&^^^^|{^^^^GGGG}|reach\whenever you cast a spirit or arcane spell, @ gains forestwalk until end of turn.|

